,"SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE"
3159,"2SPX,P,12 20 2024,03992 240,33.2188,1879,04/01/2024"
3160,"2SPX,C,12 20 2024,03994 310,1395.965,202,04/01/2024"
3161,"2SPX,P,12 20 2024,03994 310,33.2956,202,04/01/2024"
3162,"2SPX,C,12 20 2024,03994 340,1395.937,403,04/01/2024"
3163,"2SPX,P,12 20 2024,03994 340,33.2967,403,04/01/2024"
3164,"2SPX,C,12 20 2024,03999 780,1390.898,938,04/01/2024"
3165,"2SPX,P,12 20 2024,03999 780,33.4997,938,04/01/2024"
3166,"2SPX,P,12 20 2024,04000 010,33.5086,300,04/01/2024"
3167,"2SPX,C,12 20 2024,04002 810,1388.101,131,04/01/2024"
3168,"2SPX,P,12 20 2024,04002 810,33.6217,131,04/01/2024"
3169,"2SPX,C,12 20 2024,04003 270,1387.676,396,04/01/2024"
3170,"2SPX,P,12 20 2024,04003 270,33.6403,396,04/01/2024"
3171,"2SPX,C,12 20 2024,04004 600,1386.448,201,04/01/2024"
3172,"2SPX,P,12 20 2024,04004 600,33.6943,201,04/01/2024"
3173,"2SPX,C,12 20 2024,04004 720,1386.338,393,04/01/2024"
3174,"2SPX,P,12 20 2024,04004 720,33.6991,393,04/01/2024"
3175,"2SPX,C,12 20 2024,04005 330,1385.775,266,04/01/2024"
3176,"2SPX,P,12 20 2024,04005 330,33.724,266,04/01/2024"
3177,"2SPX,P,12 20 2024,04009 000,33.8734,50,04/01/2024"
3178,"2SPX,C,12 20 2024,04009 680,1381.76,198,04/01/2024"
3179,"2SPX,P,12 20 2024,04009 680,33.9012,198,04/01/2024"
3180,"2SPX,C,12 20 2024,04012 970,1378.725,130,04/01/2024"
3181,"2SPX,P,12 20 2024,04012 970,34.0357,130,04/01/2024"
3182,"2SPX,C,12 20 2024,04015 490,1376.4,261,04/01/2024"
3183,"2SPX,P,12 20 2024,04015 490,34.1389,261,04/01/2024"
3184,"2SPX,C,12 20 2024,04016 070,1375.865,266,04/01/2024"
3185,"2SPX,P,12 20 2024,04016 070,34.1627,266,04/01/2024"
3186,"2SPX,C,12 20 2024,04018 070,1374.02,131,04/01/2024"
3187,"2SPX,P,12 20 2024,04018 070,34.245,131,04/01/2024"
3188,"2SPX,C,12 20 2024,04022 900,1369.565,132,04/01/2024"
3189,"2SPX,P,12 20 2024,04022 900,34.4442,132,04/01/2024"
3190,"2SPX,C,12 20 2024,04023 110,1369.371,265,04/01/2024"
3191,"2SPX,P,12 20 2024,04023 110,34.453,265,04/01/2024"
3192,"2SPX,C,12 20 2024,04028 080,1364.793,130,04/01/2024"
3193,"2SPX,P,12 20 2024,04028 080,34.664,130,04/01/2024"
3194,"2SPX,C,12 20 2024,04039 200,1354.562,129,04/01/2024"
3195,"2SPX,P,12 20 2024,04039 200,35.1482,129,04/01/2024"
3196,"2SPX,C,12 20 2024,04040 040,1353.789,322,04/01/2024"
3197,"2SPX,P,12 20 2024,04040 040,35.1849,322,04/01/2024"
3198,"2SPX,C,12 20 2024,04040 270,1353.578,131,04/01/2024"
3199,"2SPX,P,12 20 2024,04040 270,35.1949,131,04/01/2024"
3200,"2SPX,C,12 20 2024,04041 000,1352.906,66,04/01/2024"
3201,"2SPX,P,12 20 2024,04041 000,35.2268,66,04/01/2024"
3202,"2SPX,C,12 20 2024,04041 630,1352.327,115,04/01/2024"
3203,"2SPX,P,12 20 2024,04041 630,35.2543,115,04/01/2024"
3204,"2SPX,C,12 20 2024,04044 770,1349.438,131,04/01/2024"
3205,"2SPX,P,12 20 2024,04044 770,35.3914,131,04/01/2024"
3206,"2SPX,C,12 20 2024,04045 150,1349.088,131,04/01/2024"
3207,"2SPX,P,12 20 2024,04045 150,35.4079,131,04/01/2024"
3208,"2SPX,C,12 20 2024,04051 830,1342.943,182,04/01/2024"
3209,"2SPX,P,12 20 2024,04051 830,35.6996,182,04/01/2024"
3210,"2SPX,C,12 20 2024,04055 920,1339.181,65,04/01/2024"
3211,"2SPX,P,12 20 2024,04055 920,35.8782,65,04/01/2024"
3212,"2SPX,C,12 20 2024,04059 710,1335.694,720,04/01/2024"
3213,"2SPX,P,12 20 2024,04059 710,36.0437,720,04/01/2024"
3214,"2SPX,C,12 20 2024,04065 040,1330.791,91,04/01/2024"
3215,"2SPX,P,12 20 2024,04065 040,36.2764,91,04/01/2024"
3216,"2SPX,C,12 20 2024,04066 820,1329.154,391,04/01/2024"
3217,"2SPX,P,12 20 2024,04066 820,36.3542,391,04/01/2024"
3218,"2SPX,C,12 20 2024,04067 460,1328.565,196,04/01/2024"
3219,"2SPX,P,12 20 2024,04067 460,36.3821,196,04/01/2024"
3220,"2SPX,C,12 20 2024,04069 400,1326.78,258,04/01/2024"
3221,"2SPX,P,12 20 2024,04069 400,36.4668,258,04/01/2024"
3222,"2SPX,C,12 20 2024,04073 510,1322.999,394,04/01/2024"
3223,"2SPX,P,12 20 2024,04073 510,36.6463,394,04/01/2024"
3224,"2SPX,C,12 20 2024,04074 140,1322.42,192,04/01/2024"
3225,"2SPX,P,12 20 2024,04074 140,36.6738,192,04/01/2024"
3226,"2SPX,C,12 20 2024,04074 920,1321.702,64,04/01/2024"
3227,"2SPX,P,12 20 2024,04074 920,36.7079,64,04/01/2024"
3228,"2SPX,C,12 20 2024,04076 190,1320.534,191,04/01/2024"
3229,"2SPX,P,12 20 2024,04076 190,36.7633,191,04/01/2024"
3230,"2SPX,C,12 20 2024,04077 320,1319.494,64,04/01/2024"
3231,"2SPX,P,12 20 2024,04077 320,36.8127,64,04/01/2024"
3232,"2SPX,C,12 20 2024,04077 620,1319.218,64,04/01/2024"
3233,"2SPX,P,12 20 2024,04077 620,36.8258,64,04/01/2024"
3234,"2SPX,C,12 20 2024,04077 960,1318.906,64,04/01/2024"
3235,"2SPX,P,12 20 2024,04077 960,36.8406,64,04/01/2024"
3236,"2SPX,C,12 20 2024,04078 350,1318.547,127,04/01/2024"
3237,"2SPX,P,12 20 2024,04078 350,36.8577,127,04/01/2024"
3238,"2SPX,C,12 20 2024,04078 550,1318.363,130,04/01/2024"
3239,"2SPX,P,12 20 2024,04078 550,36.8664,130,04/01/2024"
3240,"2SPX,C,12 20 2024,04079 540,1317.452,130,04/01/2024"
3241,"2SPX,P,12 20 2024,04079 540,36.9096,130,04/01/2024"
3242,"2SPX,C,12 20 2024,04080 070,1316.965,48,04/01/2024"
3243,"2SPX,P,12 20 2024,04080 070,36.9328,48,04/01/2024"
3244,"2SPX,C,12 20 2024,04081 510,1315.64,522,04/01/2024"
3245,"2SPX,P,12 20 2024,04081 510,36.9957,522,04/01/2024"
3246,"2SPX,C,12 20 2024,04085 100,1312.337,240,04/01/2024"
3247,"2SPX,P,12 20 2024,04085 100,37.1524,240,04/01/2024"
3248,"2SPX,C,12 20 2024,04085 150,1312.291,36,04/01/2024"
3249,"2SPX,P,12 20 2024,04085 150,37.1546,36,04/01/2024"
3250,"2SPX,C,12 20 2024,04088 820,1308.915,78,04/01/2024"
3251,"2SPX,P,12 20 2024,04088 820,37.3149,78,04/01/2024"
3252,"2SPX,C,12 20 2024,04089 710,1308.096,390,04/01/2024"
3253,"2SPX,P,12 20 2024,04089 710,37.3538,390,04/01/2024"
3254,"2SPX,C,12 20 2024,04089 810,1308.004,260,04/01/2024"
3255,"2SPX,P,12 20 2024,04089 810,37.3582,260,04/01/2024"
3256,"2SPX,C,12 20 2024,04089 880,1307.94,130,04/01/2024"
3257,"2SPX,P,12 20 2024,04089 880,37.3612,130,04/01/2024"
3258,"2SPX,C,12 20 2024,04096 240,1302.09,382,04/01/2024"
3259,"2SPX,P,12 20 2024,04096 240,37.6394,382,04/01/2024"
3260,"2SPX,C,12 20 2024,04099 390,1299.193,521,04/01/2024"
3261,"2SPX,P,12 20 2024,04099 390,37.7778,521,04/01/2024"
3262,"2SPX,C,12 20 2024,04099 820,1298.798,524,04/01/2024"
3263,"2SPX,P,12 20 2024,04099 820,37.7971,524,04/01/2024"
3264,"2SPX,C,12 20 2024,04103 440,1295.48,195,04/01/2024"
3265,"2SPX,P,12 20 2024,04103 440,37.9675,195,04/01/2024"
3266,"2SPX,C,12 20 2024,04106 410,1292.759,128,04/01/2024"
3267,"2SPX,P,12 20 2024,04106 410,38.1082,128,04/01/2024"
3268,"2SPX,C,12 20 2024,04106 810,1292.392,89,04/01/2024"
3269,"2SPX,P,12 20 2024,04106 810,38.1272,89,04/01/2024"
3270,"2SPX,C,12 20 2024,04107 170,1292.063,127,04/01/2024"
3271,"2SPX,P,12 20 2024,04107 170,38.1444,127,04/01/2024"
3272,"2SPX,C,12 20 2024,04107 570,1291.696,254,04/01/2024"
3273,"2SPX,P,12 20 2024,04107 570,38.1634,254,04/01/2024"
3274,"2SPX,C,12 20 2024,04107 820,1291.467,127,04/01/2024"
3275,"2SPX,P,12 20 2024,04107 820,38.1753,127,04/01/2024"
3276,"2SPX,C,12 20 2024,04108 370,1290.964,260,04/01/2024"
3277,"2SPX,P,12 20 2024,04108 370,38.2016,260,04/01/2024"
3278,"2SPX,C,12 20 2024,04109 900,1289.562,258,04/01/2024"
3279,"2SPX,P,12 20 2024,04109 900,38.2748,258,04/01/2024"
3280,"2SPX,C,12 20 2024,04115 740,1284.214,1,04/01/2024"
3281,"2SPX,C,12 20 2024,04116 550,1283.473,128,04/01/2024"
3282,"2SPX,P,12 20 2024,04116 550,38.5929,128,04/01/2024"
3283,"2SPX,C,12 20 2024,04116 790,1283.253,787,04/01/2024"
3284,"2SPX,P,12 20 2024,04116 790,38.6044,787,04/01/2024"
3285,"2SPX,C,12 20 2024,04116 860,1283.189,48,04/01/2024"
3286,"2SPX,P,12 20 2024,04116 860,38.6077,48,04/01/2024"
3287,"2SPX,C,12 20 2024,04117 150,1282.923,51,04/01/2024"
3288,"2SPX,P,12 20 2024,04117 150,38.6216,51,04/01/2024"
3289,"2SPX,C,12 20 2024,04117 310,1282.777,77,04/01/2024"
3290,"2SPX,P,12 20 2024,04117 310,38.6293,77,04/01/2024"
3291,"2SPX,C,12 20 2024,04117 530,1282.575,128,04/01/2024"
3292,"2SPX,P,12 20 2024,04117 530,38.6398,128,04/01/2024"
3293,"2SPX,C,12 20 2024,04117 600,1282.511,514,04/01/2024"
3294,"2SPX,P,12 20 2024,04117 600,38.6432,514,04/01/2024"
3295,"2SPX,C,12 20 2024,04117 660,1282.456,254,04/01/2024"
3296,"2SPX,P,12 20 2024,04117 660,38.646,254,04/01/2024"
3297,"2SPX,C,12 20 2024,04118 400,1281.779,48,04/01/2024"
3298,"2SPX,P,12 20 2024,04118 400,38.6815,48,04/01/2024"
3299,"2SPX,C,12 20 2024,04118 550,1281.641,390,04/01/2024"
3300,"2SPX,P,12 20 2024,04118 550,38.6887,390,04/01/2024"
3301,"2SPX,C,12 20 2024,04119 440,1280.826,120,04/01/2024"
3302,"2SPX,P,12 20 2024,04119 440,38.7313,120,04/01/2024"
3303,"2SPX,C,12 20 2024,04120 510,1279.847,258,04/01/2024"
3304,"2SPX,P,12 20 2024,04120 510,38.7826,258,04/01/2024"
3305,"2SPX,C,12 20 2024,04121 280,1279.141,261,04/01/2024"
3306,"2SPX,P,12 20 2024,04121 280,38.8195,261,04/01/2024"
3307,"2SPX,C,12 20 2024,04126 090,1274.737,129,04/01/2024"
3308,"2SPX,P,12 20 2024,04126 090,39.0499,129,04/01/2024"
3309,"2SPX,C,12 20 2024,04126 420,1274.435,1033,04/01/2024"
3310,"2SPX,P,12 20 2024,04126 420,39.0658,1033,04/01/2024"
3311,"2SPX,C,12 20 2024,04127 600,1273.354,59,04/01/2024"
3312,"2SPX,P,12 20 2024,04127 600,39.1223,59,04/01/2024"
3313,"2SPX,C,12 20 2024,04129 190,1271.898,130,04/01/2024"
3314,"2SPX,P,12 20 2024,04129 190,39.1985,130,04/01/2024"
3315,"2SPX,C,12 20 2024,04130 000,1271.157,140,04/01/2024"
3316,"2SPX,C,12 20 2024,04131 280,1269.985,774,04/01/2024"
3317,"2SPX,P,12 20 2024,04131 280,39.2987,774,04/01/2024"
3318,"2SPX,C,12 20 2024,04133 630,1267.833,258,04/01/2024"
3319,"2SPX,P,12 20 2024,04133 630,39.4113,258,04/01/2024"
3320,"2SPX,C,12 20 2024,04134 800,1266.762,774,04/01/2024"
3321,"2SPX,P,12 20 2024,04134 800,39.4674,774,04/01/2024"
3322,"2SPX,C,12 20 2024,04135 590,1266.038,640,04/01/2024"
3323,"2SPX,P,12 20 2024,04135 590,39.5052,640,04/01/2024"
3324,"2SPX,C,12 20 2024,04138 930,1262.98,127,04/01/2024"
3325,"2SPX,P,12 20 2024,04138 930,39.6654,127,04/01/2024"
3326,"2SPX,C,12 20 2024,04139 690,1262.284,191,04/01/2024"
3327,"2SPX,P,12 20 2024,04139 690,39.7018,191,04/01/2024"
3328,"2SPX,C,12 20 2024,04140 650,1261.405,593,04/01/2024"
3329,"2SPX,P,12 20 2024,04140 650,39.7479,593,04/01/2024"
3330,"2SPX,C,12 20 2024,04142 680,1259.547,89,04/01/2024"
3331,"2SPX,P,12 20 2024,04142 680,39.8455,89,04/01/2024"
3332,"2SPX,C,12 20 2024,04143 010,1259.245,129,04/01/2024"
3333,"2SPX,P,12 20 2024,04143 010,39.8614,129,04/01/2024"
3334,"2SPX,C,12 20 2024,04146 370,1256.169,63,04/01/2024"
3335,"2SPX,P,12 20 2024,04146 370,40.0238,63,04/01/2024"
3336,"2SPX,C,12 20 2024,04148 130,1254.559,118,04/01/2024"
3337,"2SPX,P,12 20 2024,04148 130,40.1091,118,04/01/2024"
3338,"2SPX,C,12 20 2024,04148 230,1254.467,118,04/01/2024"
3339,"2SPX,P,12 20 2024,04148 230,40.114,118,04/01/2024"
3340,"2SPX,C,12 20 2024,04150 090,1252.766,284,04/01/2024"
3341,"2SPX,P,12 20 2024,04150 090,40.2046,284,04/01/2024"
3342,"2SPX,C,12 20 2024,04151 860,1251.148,59,04/01/2024"
3343,"2SPX,P,12 20 2024,04151 860,40.2922,59,04/01/2024"
3344,"2SPX,C,12 20 2024,04154 000,1249.192,63,04/01/2024"
3345,"2SPX,P,12 20 2024,04154 000,40.3987,63,04/01/2024"
3346,"2SPX,C,12 20 2024,04156 970,1246.478,100,04/01/2024"
3347,"2SPX,P,12 20 2024,04156 970,40.5468,100,04/01/2024"
3348,"2SPX,C,12 20 2024,04161 470,1242.367,237,04/01/2024"
3349,"2SPX,P,12 20 2024,04161 470,40.772,237,04/01/2024"
3350,"2SPX,C,12 20 2024,04162 270,1241.636,125,04/01/2024"
3351,"2SPX,P,12 20 2024,04162 270,40.8121,125,04/01/2024"
3352,"2SPX,C,12 20 2024,04163 020,1240.951,125,04/01/2024"
3353,"2SPX,P,12 20 2024,04163 020,40.8498,125,04/01/2024"
3354,"2SPX,C,12 20 2024,04163 070,1240.906,125,04/01/2024"
3355,"2SPX,P,12 20 2024,04163 070,40.8523,125,04/01/2024"
3356,"2SPX,C,12 20 2024,04164 780,1239.344,129,04/01/2024"
3357,"2SPX,P,12 20 2024,04164 780,40.9384,129,04/01/2024"
3358,"2SPX,C,12 20 2024,04166 860,1237.445,756,04/01/2024"
3359,"2SPX,P,12 20 2024,04166 860,41.0433,756,04/01/2024"
3360,"2SPX,C,12 20 2024,04171 630,1233.089,127,04/01/2024"
3361,"2SPX,P,12 20 2024,04171 630,41.2844,127,04/01/2024"
3362,"2SPX,C,12 20 2024,04172 020,1232.733,151,04/01/2024"
3363,"2SPX,P,12 20 2024,04172 020,41.3042,151,04/01/2024"
3364,"2SPX,C,12 20 2024,04172 500,1232.295,59,04/01/2024"
3365,"2SPX,P,12 20 2024,04172 500,41.3286,59,04/01/2024"
3366,"2SPX,C,12 20 2024,04172 710,1232.104,252,04/01/2024"
3367,"2SPX,P,12 20 2024,04172 710,41.3392,252,04/01/2024"
3368,"2SPX,C,12 20 2024,04173 000,1231.839,66,04/01/2024"
3369,"2SPX,P,12 20 2024,04173 000,41.3541,66,04/01/2024"
3370,"2SPX,C,12 20 2024,04175 690,1229.385,377,04/01/2024"
3371,"2SPX,P,12 20 2024,04175 690,41.4918,377,04/01/2024"
3372,"2SPX,C,12 20 2024,04180 920,1224.621,150,04/01/2024"
3373,"2SPX,P,12 20 2024,04180 920,41.7678,150,04/01/2024"
3374,"2SPX,C,12 20 2024,04182 520,1223.164,256,04/01/2024"
3375,"2SPX,P,12 20 2024,04182 520,41.8526,256,04/01/2024"
3376,"2SPX,C,12 20 2024,04195 660,1211.199,117,04/01/2024"
3377,"2SPX,P,12 20 2024,04195 660,42.549,117,04/01/2024"
3378,"2SPX,C,12 20 2024,04199 380,1207.811,252,04/01/2024"
3379,"2SPX,P,12 20 2024,04199 380,42.7461,252,04/01/2024"
3380,"2SPX,C,12 20 2024,04200 010,1207.238,20,04/01/2024"
3381,"2SPX,P,12 20 2024,04200 010,42.7795,20,04/01/2024"
3382,"2SPX,C,12 20 2024,04202 930,1204.579,216,04/01/2024"
3383,"2SPX,P,12 20 2024,04202 930,42.9343,216,04/01/2024"
3384,"2SPX,C,12 20 2024,04204 000,1203.604,127,04/01/2024"
3385,"2SPX,P,12 20 2024,04204 000,42.991,127,04/01/2024"
3386,"2SPX,C,12 20 2024,04208 250,1199.734,496,04/01/2024"
3387,"2SPX,P,12 20 2024,04208 250,43.2162,496,04/01/2024"
3388,"2SPX,C,12 20 2024,04210 230,1197.931,126,04/01/2024"
3389,"2SPX,P,12 20 2024,04210 230,43.3212,126,04/01/2024"
3390,"2SPX,C,12 20 2024,04211 300,1196.957,125,04/01/2024"
3391,"2SPX,P,12 20 2024,04211 300,43.3779,125,04/01/2024"
3392,"2SPX,C,12 20 2024,04214 460,1194.08,449,04/01/2024"
3393,"2SPX,P,12 20 2024,04214 460,43.5454,449,04/01/2024"
3394,"2SPX,C,12 20 2024,04215 480,1193.151,125,04/01/2024"
3395,"2SPX,P,12 20 2024,04215 480,43.5995,125,04/01/2024"
3396,"2SPX,C,12 20 2024,04215 590,1193.051,186,04/01/2024"
3397,"2SPX,P,12 20 2024,04215 590,43.6053,186,04/01/2024"
3398,"2SPX,C,12 20 2024,04215 780,1192.878,248,04/01/2024"
3399,"2SPX,P,12 20 2024,04215 780,43.6154,248,04/01/2024"
3400,"2SPX,C,12 20 2024,04216 190,1192.504,124,04/01/2024"
3401,"2SPX,P,12 20 2024,04216 190,43.6372,124,04/01/2024"
3402,"2SPX,C,12 20 2024,04216 280,1192.422,124,04/01/2024"
3403,"2SPX,P,12 20 2024,04216 280,43.6419,124,04/01/2024"
3404,"2SPX,C,12 20 2024,04217 720,1191.111,372,04/01/2024"
3405,"2SPX,P,12 20 2024,04217 720,43.7185,372,04/01/2024"
3406,"2SPX,C,12 20 2024,04218 520,1190.383,250,04/01/2024"
3407,"2SPX,P,12 20 2024,04218 520,43.7611,250,04/01/2024"
3408,"2SPX,C,12 20 2024,04218 560,1190.347,50,04/01/2024"
3409,"2SPX,P,12 20 2024,04218 560,43.7632,50,04/01/2024"
3410,"2SPX,C,12 20 2024,04220 120,1188.927,58,04/01/2024"
3411,"2SPX,P,12 20 2024,04220 120,43.8466,58,04/01/2024"
3412,"2SPX,C,12 20 2024,04221 510,1187.662,200,04/01/2024"
3413,"2SPX,P,12 20 2024,04221 510,43.9209,200,04/01/2024"
3414,"2SPX,C,12 20 2024,04222 080,1187.143,1268,04/01/2024"
3415,"2SPX,P,12 20 2024,04222 080,43.9514,1268,04/01/2024"
3416,"2SPX,C,12 20 2024,04223 170,1186.151,188,04/01/2024"
3417,"2SPX,P,12 20 2024,04223 170,44.0099,188,04/01/2024"
3418,"2SPX,C,12 20 2024,04223 330,1186.006,125,04/01/2024"
3419,"2SPX,P,12 20 2024,04223 330,44.0185,125,04/01/2024"
3420,"2SPX,C,12 20 2024,04223 690,1185.678,632,04/01/2024"
3421,"2SPX,P,12 20 2024,04223 690,44.0379,632,04/01/2024"
3422,"2SPX,C,12 20 2024,04226 100,1183.487,233,04/01/2024"
3423,"2SPX,P,12 20 2024,04226 100,44.1687,233,04/01/2024"
3424,"2SPX,C,12 20 2024,04227 060,1182.614,379,04/01/2024"
3425,"2SPX,P,12 20 2024,04227 060,44.2214,379,04/01/2024"
3426,"2SPX,C,12 20 2024,04235 260,1175.166,504,04/01/2024"
3427,"2SPX,P,12 20 2024,04235 260,44.6749,504,04/01/2024"
3428,"2SPX,C,12 20 2024,04240 990,1169.964,252,04/01/2024"
3429,"2SPX,P,12 20 2024,04240 990,44.9941,252,04/01/2024"
3430,"2SPX,C,12 20 2024,04245 170,1166.17,232,04/01/2024"
3431,"2SPX,P,12 20 2024,04245 170,45.2282,232,04/01/2024"
3432,"2SPX,C,12 20 2024,04246 330,1165.118,251,04/01/2024"
3433,"2SPX,P,12 20 2024,04246 330,45.2933,251,04/01/2024"
3434,"2SPX,C,12 20 2024,04247 660,1163.911,348,04/01/2024"
3435,"2SPX,P,12 20 2024,04247 660,45.3681,348,04/01/2024"
3436,"2SPX,C,12 20 2024,04249 970,1161.815,246,04/01/2024"
3437,"2SPX,P,12 20 2024,04249 970,45.4984,246,04/01/2024"
3438,"2SPX,C,12 20 2024,04254 870,1157.384,496,04/01/2024"
3439,"2SPX,P,12 20 2024,04254 870,45.7889,496,04/01/2024"
3440,"2SPX,C,12 20 2024,04255 420,1156.887,249,04/01/2024"
3441,"2SPX,P,12 20 2024,04255 420,45.8217,249,04/01/2024"
3442,"2SPX,C,12 20 2024,04255 470,1156.842,335,04/01/2024"
3443,"2SPX,P,12 20 2024,04255 470,45.8247,335,04/01/2024"
3444,"2SPX,C,12 20 2024,04258 590,1154.023,63,04/01/2024"
3445,"2SPX,P,12 20 2024,04258 590,46.0118,63,04/01/2024"
3446,"2SPX,C,12 20 2024,04258 750,1153.878,502,04/01/2024"
3447,"2SPX,P,12 20 2024,04258 750,46.0214,502,04/01/2024"
3448,"2SPX,C,12 20 2024,04261 810,1151.113,62,04/01/2024"
3449,"2SPX,P,12 20 2024,04261 810,46.2049,62,04/01/2024"
3450,"2SPX,C,12 20 2024,04267 340,1146.116,124,04/01/2024"
3451,"2SPX,P,12 20 2024,04267 340,46.5367,124,04/01/2024"
3452,"2SPX,C,12 20 2024,04269 170,1144.463,250,04/01/2024"
3453,"2SPX,P,12 20 2024,04269 170,46.6465,250,04/01/2024"
3454,"2SPX,C,12 20 2024,04271 890,1142.005,122,04/01/2024"
3455,"2SPX,P,12 20 2024,04271 890,46.8097,122,04/01/2024"
3456,"2SPX,C,12 20 2024,04274 650,1139.511,369,04/01/2024"
3457,"2SPX,P,12 20 2024,04274 650,46.9753,369,04/01/2024"
3458,"2SPX,C,12 20 2024,04276 700,1137.658,870,04/01/2024"
3459,"2SPX,P,12 20 2024,04276 700,47.0983,870,04/01/2024"
3460,"2SPX,C,12 20 2024,04277 850,1136.619,62,04/01/2024"
3461,"2SPX,P,12 20 2024,04277 850,47.1673,62,04/01/2024"
3462,"2SPX,C,12 20 2024,04277 880,1136.592,62,04/01/2024"
3463,"2SPX,P,12 20 2024,04277 880,47.1691,62,04/01/2024"
3464,"2SPX,C,12 20 2024,04279 450,1135.174,125,04/01/2024"
3465,"2SPX,P,12 20 2024,04279 450,47.2632,125,04/01/2024"
3466,"2SPX,C,12 20 2024,04281 440,1133.375,714,04/01/2024"
3467,"2SPX,P,12 20 2024,04281 440,47.3826,714,04/01/2024"
3468,"2SPX,C,12 20 2024,04281 670,1133.168,250,04/01/2024"
3469,"2SPX,P,12 20 2024,04281 670,47.3964,250,04/01/2024"
3470,"2SPX,C,12 20 2024,04286 350,1128.939,69,04/01/2024"
3471,"2SPX,P,12 20 2024,04286 350,47.6772,69,04/01/2024"
3472,"2SPX,C,12 20 2024,04289 260,1126.309,248,04/01/2024"
3473,"2SPX,P,12 20 2024,04289 260,47.8518,248,04/01/2024"
3474,"2SPX,C,12 20 2024,04290 480,1125.207,119,04/01/2024"
3475,"2SPX,P,12 20 2024,04290 480,47.925,119,04/01/2024"
3476,"2SPX,C,12 20 2024,04292 450,1123.427,95,04/01/2024"
3477,"2SPX,P,12 20 2024,04292 450,48.0432,95,04/01/2024"
3478,"2SPX,C,12 20 2024,04292 580,1123.309,238,04/01/2024"
3479,"2SPX,P,12 20 2024,04292 580,48.051,238,04/01/2024"
3480,"2SPX,C,12 20 2024,04293 250,1122.704,486,04/01/2024"
3481,"2SPX,P,12 20 2024,04293 250,48.0913,486,04/01/2024"
3482,"2SPX,C,12 20 2024,04293 290,1122.668,497,04/01/2024"
3483,"2SPX,P,12 20 2024,04293 290,48.0937,497,04/01/2024"
3484,"2SPX,C,12 20 2024,04294 660,1121.43,178,04/01/2024"
3485,"2SPX,P,12 20 2024,04294 660,48.1762,178,04/01/2024"
3486,"2SPX,C,12 20 2024,04294 710,1121.385,238,04/01/2024"
3487,"2SPX,P,12 20 2024,04294 710,48.1792,238,04/01/2024"
3488,"2SPX,C,12 20 2024,04294 810,1121.295,143,04/01/2024"
3489,"2SPX,P,12 20 2024,04294 810,48.1852,143,04/01/2024"
3490,"2SPX,C,12 20 2024,04295 060,1121.069,122,04/01/2024"
3491,"2SPX,P,12 20 2024,04295 060,48.2003,122,04/01/2024"
3492,"2SPX,C,12 20 2024,04296 890,1119.416,202,04/01/2024"
3493,"2SPX,P,12 20 2024,04296 890,48.3111,202,04/01/2024"
3494,"2SPX,C,12 20 2024,04296 910,1119.398,119,04/01/2024"
3495,"2SPX,P,12 20 2024,04296 910,48.3123,119,04/01/2024"
3496,"2SPX,C,12 20 2024,04297 440,1118.92,123,04/01/2024"
3497,"2SPX,P,12 20 2024,04297 440,48.3444,123,04/01/2024"
3498,"2SPX,C,12 20 2024,04297 490,1118.875,49,04/01/2024"
3499,"2SPX,P,12 20 2024,04297 490,48.3475,49,04/01/2024"
3500,"2SPX,C,12 20 2024,04299 610,1116.961,365,04/01/2024"
3501,"2SPX,P,12 20 2024,04299 610,48.4763,365,04/01/2024"
3502,"2SPX,P,12 20 2024,04300 010,48.5008,50,04/01/2024"
3503,"2SPX,C,12 20 2024,04303 770,1113.214,122,04/01/2024"
3504,"2SPX,P,12 20 2024,04303 770,48.7383,122,04/01/2024"
3505,"2SPX,C,12 20 2024,04306 500,1110.757,244,04/01/2024"
3506,"2SPX,P,12 20 2024,04306 500,48.9116,244,04/01/2024"
3507,"2SPX,C,12 20 2024,04311 750,1106.034,287,04/01/2024"
3508,"2SPX,P,12 20 2024,04311 750,49.2475,287,04/01/2024"
3509,"2SPX,C,12 20 2024,04312 760,1105.125,59,04/01/2024"
3510,"2SPX,P,12 20 2024,04312 760,49.3121,59,04/01/2024"
3511,"2SPX,C,12 20 2024,04313 230,1104.702,244,04/01/2024"
3512,"2SPX,P,12 20 2024,04313 230,49.3422,244,04/01/2024"
3513,"2SPX,C,12 20 2024,04313 740,1104.244,57,04/01/2024"
3514,"2SPX,P,12 20 2024,04313 740,49.3749,57,04/01/2024"
3515,"2SPX,C,12 20 2024,04314 880,1103.218,236,04/01/2024"
3516,"2SPX,P,12 20 2024,04314 880,49.4479,236,04/01/2024"
3517,"2SPX,C,12 20 2024,04316 000,1102.211,61,04/01/2024"
3518,"2SPX,P,12 20 2024,04316 000,49.5196,61,04/01/2024"
3519,"2SPX,C,12 20 2024,04316 030,1102.184,1213,04/01/2024"
3520,"2SPX,P,12 20 2024,04316 030,49.5215,1213,04/01/2024"
3521,"2SPX,C,12 20 2024,04317 440,1100.915,242,04/01/2024"
3522,"2SPX,P,12 20 2024,04317 440,49.6118,242,04/01/2024"
3523,"2SPX,C,12 20 2024,04319 250,1099.287,73,04/01/2024"
3524,"2SPX,P,12 20 2024,04319 250,49.7278,73,04/01/2024"
3525,"2SPX,P,12 20 2024,04320 000,49.7758,50,04/01/2024"
